country,location,year1,year,Magnitude,Deaths,Latitude,Longitude,"IMPACTO.(DPTO), PROV(DPTO)",Population,Urban,Sector,
Peru,"PERU: AREQUIPA, ARICA",2001,2001,7.3,1,-17.543,-72.077,"CARAVELI, CAMANA, ISLAY (AREQUIPA), ILO (MOQUEGUA), JORGE BASADRE, TACNA (TACNA)",428481,1,1,
Peru,PERU: ANTABAMA,2001,2001,5.5,4,-14.258,-72.683,ANTABAMBA (APURIMAC),12350,0,3,
Peru,"PERU: LAMAS, CHACHAPOYAS, MOYOBAMBA, TARAPOTA",SET25 2005,2005,7,5,-5.678,-76.398,"LAMAS, MOYOBAMBA, SAN MARTIN (SAN MARTIN), CHACHAPOYAS (AMAZONAS)",387828,1,3,
Peru,PERU: MOQUEGUA,2005,2005,4.2,,-16.635,-70.794,(MOQUEGUA),156381,1,1,http://larepublica.pe/02-10-2005/sismo-dana-300-casas-en-moquegua
Peru,PERU: N,OCT30 2005,2005,5.1,0,-5.852,-78.704,JAEN (CAJAMARCA),181661,1,3,http://larepublica.pe/01-11-2005/sismo-de-51-grados-en-bagua-y-jaen
Peru,PERU: CENTRAL,2006,2006,6.6,,-13.457,-76.677,"CAÑETE (LIMA), CHINCHA (ICA) ",387534,1,1,
Peru,"PERU: ICA, PISCO, LIMA",2007,2007,7.9,514,-13.386,-76.603,"CAÑETE (LIMA), CHINCHA, PISCO (ICA) ",520856,1,1,
Peru,PERU: OFF COAST,MARZ29 2008,2008,5.3,,-12.178,-77.164,"LIMA (LIMA), CALLAO",8889774,1,1,http://reliefweb.int/report/peru/per%C3%BA-nota-de-prensa-no-079-2008-indeci-uii-sismo-no-caus%C3%B3-da%C3%B1os-en-poblaci%C3%B3n
Peru,"PERU: CENTRAL: OXAPAMPA, HUANCABAMBA",2008,2008,5,,-10.368,-75.512,OXAPAMPA (PASCO),154186,1,3,
Peru,PERU: AREQUIPA,JUL08 2008,2008,5.8,1,-15.986,-71.748,AREQUIPA (AREQUIPA),894937,1,1,http://reliefweb.int/report/peru/per%C3%BA-nota-de-prensa-no-079-2008-indeci-uii-sismo-no-caus%C3%B3-da%C3%B1os-en-poblaci%C3%B3n
Peru,PERU: PACCHA,2009,2009,4.1,0,-11.779,-75.626,JAUJA (JUNIN),93209,1,3,http://larepublica.pe/23-01-2009/sismo-dano-todas-las-casas-de-paccha
Peru,PERU: TACNA,2010,2010,5.9,,-18.058,-70.547,(TACNA),320021,1,1,
Peru,PERU: SAN VICENTE DE CANETE,2011,2011,6.9,1,-14.438,-75.966,CAÑETE (LIMA),219564,1,3,
Peru,PERU: ICA,2012,2012,5.9,,-14.168,-75.635,(ICA),763558,1,1,
Peru,PERU: S,2013,2013,4.9,,-15.748,-71.425,CAYLLOMA (AREQUIPA),89402,0,3,http://www.igp.gob.pe/portal/images/documents/sismos/Boletin_Sismico_2013_2/boletin_sismico_108_2013.pdf
Peru,PERU: AREQUIPA,SET25 2013,2013,6.9,,-15.851,-74.562,CARAVELI (AREQUIPA),39843,0,3,http://www.igp.gob.pe/portal/images/documents/sismos/Boletin_Sismico_2013_2/boletin_sismico_152_2013.pdf
Peru,PERU: PACCHA,ABR14 2014,2014,4.6,8,-13.814,-71.744,JAUJA (JUNIN),86381,1,3,http://www.igp.gob.pe/portal/images/documents/sismos/Boletin_Sismico_2014/boletin_sismico_68_2014.pdf
Peru,PERU-BRAZIL,NOV25 2015,2015,6.7,,-10.047,-71.023,"PURUS (UCAYALI), TAHUAMANU (MADRE DE DIOS)",18295,0,3,http://www.igp.gob.pe/portal/images/documents/sismos/Boletin_sismico_2015/boletin_258_2015.pdf
Peru,PERU-BRAZIL,NOV26 2015,2015,5,,-10.548,-70.904,"PURUS (UCAYALI), TAHUAMANU (MADRE DE DIOS)",18295,0,3,http://www.igp.gob.pe/portal/images/documents/sismos/Boletin_sismico_2015/boletin_259_2015.pdf
